Well ID,X_54012,Y_54012,STD
PO0160750U0003,789971.5010490606,5618131.702176857,2.510845319428515
PO0160760R1284,808702.2820398082,5611888.75306491,0.5883622494898425
PO0160980R0009,783120.097737767,5623830.9535488235,2.1877002007099646
PO0161150U0002,797618.8011934048,5629254.8466475615,1.7418333279452225
PO016117NU0001,798977.4405974334,5623249.208466346,2.164876388095303
PO0161530R0004,786025.4272141316,5621422.199370908,1.6380450871930128
PO0162130R0002,782632.3381899615,5628490.992765905,2.5146980683956093
PO0170140RC626,858142.6703799848,5606199.907122137,4.083396718543275
PO0170290UB135,835643.2407597819,5610807.940827058,1.7392210845723095
PO017029NR0003,844337.9190311267,5609198.390256622,0.9666883301683213
PO017029NU0001,837635.1683473932,5613024.9278540155,3.608548978727344
PO0170340RC481,848987.8690242333,5597851.473918919,1.476895502265615
PO0170400RC511,828314.2445293764,5615402.298308961,1.5148586798670456
PO0170710RC478,850186.4188254578,5579048.990993886,0.46997507237254094
PO0170750RC536,837437.9560092599,5629895.745285903,0.19309503046291404
PO0170880RC541,841297.2946522807,5592942.532627356,0.43308773826453206
PO0170920RC540,859208.7501220744,5602193.750789109,3.5189113384572925
PO0171430RC548,830542.645857721,5642850.141703136,0.8300149015783421
PO0171760RC555,847797.562023582,5667431.3875322705,1.0769580329674622
PO018003NR0009,717445.7780720869,5586065.266301582,0.6236946679862598
PO018032NR0001,750818.5040153394,5560844.529056691,1.27889168927356
PO018043NUP001,760214.5680885041,5582998.735018107,0.17378634847206562
PO018047NR0001,741872.6115000016,5559322.963509457,1.4587565450520938
PO018068NRP001,733384.9487365736,5583058.247131827,0.8614753488245048
PO018072NUP001,754078.6440829836,5582644.0649252795,0.3769435135791285
PO0181100U0111,752757.9530429427,5578533.300876113,0.7475550676939946
PO018162NUP001,754835.2585351281,5571712.761616077,0.48372824970882883
PO018173NUP001,748851.5556706798,5584697.056365581,0.46414752364643436
PO018176NUP001,759641.2115875487,5587153.487220959,0.41660878145422
PO019027NRA001,818808.5887252291,5586639.444031601,0.6600400640392297
PO019033NRA001,831884.1701784099,5577692.350135643,0.24863444455696557
PO019035NRA001,795709.0092921891,5593672.486446448,0.2741697276471084
PO019036NUA001,828386.559042936,5570096.341373625,0.8257080936189793
PO019040NRA001,844075.6911548966,5566454.963323257,0.46960237838802427
PO019047NRA001,812833.1867820736,5592341.895715964,0.2409076294318076
PO019051NRA001,813391.5818157541,5576178.579083775,0.15529342812139982
PO019065NRA001,819026.6442335895,5581695.556809161,0.27064155404370893
PO019070NRA001,845852.232234977,5574267.031962027,0.7637749305494652
PO019071NRA001,857755.2190489909,5569879.875679507,0.6713682896660794
PO019077NRA001,824769.4915887265,5579493.083882558,0.3059200950931232
PO019084NRA002,782462.1676781062,5603905.633895053,1.0577966582090417
PO019091NRA001,849554.1330317137,5562729.740183196,0.41424268344687265
PO019103NRA001,829472.1133212383,5561631.096828193,0.9181956993695408
PO019110NRA001,808728.4817627751,5590296.250966187,0.2627572275926767
PO020004NR0001,897864.8546271822,5574932.465079031,0.2804405701664172
PO0200150R0002,858403.5950170011,5587823.934587988,0.5860949613606177
PO0200170R0001,861452.1854954123,5598146.32110111,1.7930298847311852
PO020017NU0005,864295.3971811746,5597618.616066072,1.8525336540738104
PO020018NU0004,872199.4035377237,5591383.262584726,1.2151689243183643
PO020023NUP001,936543.8748158786,5553635.129673916,0.7774968616419068
PO0200240R0001,871179.646758975,5577384.830126299,0.4501341977237469
PO0200290R0002,917936.1599094853,5555836.512227119,0.5702086245032388
PO020030NU0004,888881.4100455968,5571644.6224844875,0.12924282796162656
PO020032NR0001,863247.4762760662,5574154.834036961,0.6791778896628802
PO020034NU0002,866608.648598914,5592518.623785626,1.6108362148389872
PO0200370R0002,882610.6645089601,5559424.362182526,0.7377194171138886
PO0200400R0001,913744.0281838869,5558920.429044381,0.4254186268254407
PO0200510R0002,878724.8907112462,5575452.009212426,1.0509559750714879
PO020061NR0001,928014.0495731857,5558358.239463549,0.8155381050129925
PO020061NUP001,931324.0126303252,5556762.270948617,1.0016834497145601
PO020063NU0002,868838.897580228,5593675.41218363,1.3130280372250231
PO0200650R0002,884362.8952821955,5556193.397850131,1.0528052679203332
PO0200700R0002,875689.4791503219,5589236.476236541,0.46374777119077254
PO098024NR0087,786740.0360160915,5589385.333107724,0.3688911353106857
PO098025NR0110,785587.0497737438,5592577.486369851,0.6047812303126326
PO098026NR0074,797791.2739723391,5571351.06122858,0.41920981860028333
PO098049NR0141,795001.538721323,5566307.689740609,0.7655964028864529
PO098052NR0037,788989.2191324839,5579303.2841442255,0.3523035794245145
PO108033NU0243,761259.3284160787,5615739.281706858,2.1449761178922424
PO1080520U0016,769597.7351401645,5615512.24224229,1.6248425564753435
PO1080520U0018,769597.5836221515,5615512.2485694215,1.9608916668271748
PR-F07-00,845842.2443376383,5547151.609656361,1.7994692139445045
RA-F01-00,982426.062602309,5510815.796645306,1.7930666322985456
RA-F22-00,1002739.824803595,5479290.893844878,2.4994702382079526
RA-F23-01,1013985.003043797,5473864.17035385,3.7196058004228387
RE79-01,865397.7161388473,5518783.701545468,7.6648189585213675
